address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
65-rubicon-street-reservoir-vic-3073,Reservoir,1100000,24-Nov-2020,3,1,2,669,m2,House,https://www.domain.com.au/65-rubicon-street-reservoir-vic-3073-2016616078,Secure Parking*-Dishwasher*-Study*-Solar panels*,0.6-1.2-5,3,Nov/2020/1100000.0/SOLD,0
65-liston-avenue-reservoir-vic-3073,Reservoir,745000,23-Nov-2020,3,2,2,522,m2,House,https://www.domain.com.au/65-liston-avenue-reservoir-vic-3073-2016398867,Study,1.1-1.1-0.5,3,Nov/2020/745000.0/SOLD-Aug/1991/115000.0/SOLD-Dec/1986/75000.0/SOLD,0
30-glasgow-avenue-reservoir-vic-3073,Reservoir,935000,18-Nov-2020,3,1,2,785,m2,House,https://www.domain.com.au/30-glasgow-avenue-reservoir-vic-3073-2016604907,Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Shed*-Garden*,0.8-1.1-6.7,3,Nov/2020/935000.0/SOLD,0
9-gilbank-street-reservoir-vic-3073,Reservoir,855000,18-Nov-2020,3,1,1,553,m2,House,https://www.domain.com.au/9-gilbank-street-reservoir-vic-3073-2016593495,Fireplace(s)*-Heating*-Garden*,0.6-2.1-2.8,3,Nov/2020/855000.0/SOLD-Oct/2001/268500.0/SOLD,0
22-burbank-drive-reservoir-vic-3073,Reservoir,660000,08-Nov-2020,3,1,2,585,m2,House,https://www.domain.com.au/22-burbank-drive-reservoir-vic-3073-2016193051,Garden-Secure Parking-Formal Lounge,0.8-2-0.8,3,Oct/2020/660000.0/SOLD,0
22-mcmahon-road-reservoir-vic-3073,Reservoir,897000,31-Oct-2020,3,1,5,800,m2,House,https://www.domain.com.au/22-mcmahon-road-reservoir-vic-3073-2016535944,Air conditioning*-Bath*-Heating*,0.7-1.3-0.4,3,Oct/2020/897000.0/SOLD-Aug/1978/34000.0/SOLD,0
67-chauvel-street-reservoir-vic-3073,Reservoir,920000,27-Oct-2020,3,1,6,891,m2,House,https://www.domain.com.au/67-chauvel-street-reservoir-vic-3073-2016404861,Close to schools-Close to shops-Close to transport,0.7-0.8-6.9,3,Oct/2020/920000.0/SOLD,0
41-churchill-avenue-reservoir-vic-3073,Reservoir,645000,30-Sep-2020,3,1,1,534,m2,House,https://www.domain.com.au/41-churchill-avenue-reservoir-vic-3073-2016379570,Garden-Secure Parking-Floorboards-Formal Lounge,1.1-1.2-7.9,3,Sep/2020/400.0/SOLD-Jan/1993/645000.0/SOLD,0
21-croft-crescent-reservoir-vic-3073,Reservoir,892500,05-Aug-2020,3,1,3,627,m2,House,https://www.domain.com.au/21-croft-crescent-reservoir-vic-3073-2016369897,Close to schools-Close to shops-Close to transport,1-2.4-2.5,3,Aug/2020/892500.0/SOLD-Sep/2007/354600.0/SOLD-Aug/1982/40000.0/SOLD,0
167-albert-street-reservoir-vic-3073,Reservoir,950000,10-Jul-2020,3,1,4,663,m2,House,https://www.domain.com.au/167-albert-street-reservoir-vic-3073-2016105685,Close to schools-Close to shops-Close to transport,0.6-1-5,3,Jul/2020/950000.0/SOLD,0
8-edgar-street-reservoir-vic-3073,Reservoir,1090000,27-Jun-2020,3,1,3,598,m2,House,https://www.domain.com.au/8-edgar-street-reservoir-vic-3073-2016303058,Close to schools-Close to shops-Close to transport,0.3-1.3-2.1,3,Jun/2020/1090000.0/SOLD-Apr/2007/490500.0/SOLD-Apr/1993/128000.0/SOLD,0
2-grimwade-street-reservoir-vic-3073,Reservoir,750000,17-Jun-2020,3,1,4,900,m2,House,https://www.domain.com.au/2-grimwade-street-reservoir-vic-3073-2016125287,Close to schools-Close to shops-Close to transport,0.8-1-6.9,3,Jun/2020/750000.0/SOLD-Dec/2013/350.0/SOLD,0
83-crevelli-street-reservoir-vic-3073,Reservoir,662000,11-Jun-2020,3,1,1,213,m2,House,https://www.domain.com.au/83-crevelli-street-reservoir-vic-3073-2016094725,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.5-0.8-5.6,3,Jun/2020/662000.0/SOLD-Jun/2015/417000.0/SOLD,1
63-pallant-avenue-reservoir-vic-3073,Reservoir,780000,10-Jun-2020,3,1,6,1087,m2,House,https://www.domain.com.au/63-pallant-avenue-reservoir-vic-3073-2016087598,Close to schools-Close to shops-Close to transport,0.4-0.4-7.6,3,Jun/2020/780000.0/SOLD-Oct/2014/564000.0/SOLD,0
7-burbank-drive-reservoir-vic-3073,Reservoir,700000,02-May-2020,3,2,1,596,m2,House,https://www.domain.com.au/7-burbank-drive-reservoir-vic-3073-2016205601,Air conditioning-Close to schools-Close to shops-Close to transport-Security Alarm-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.9-1.8-0.9,3,May/2020/700000.0/SOLD,0
16-elliot-street-reservoir-vic-3073,Reservoir,800000,02-May-2020,3,1,2,964,m2,House,https://www.domain.com.au/16-elliot-street-reservoir-vic-3073-2016207102,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Formal Lounge,0.7-1.3-6.5,3,May/2020/800000.0/SOLD-Sep/1990/240.0/SOLD,1
82-queen-street-reservoir-vic-3073,Reservoir,920000,21-Mar-2020,3,2,1,323,m2,House,https://www.domain.com.au/82-queen-street-reservoir-vic-3073-2016095127,Shed,0.5-1.6-2.1,3,Mar/2020/920000.0/SOLD-Jun/1991/141000.0/SOLD-Jan/1984/39400.0/SOLD,0
19-cuthbert-road-reservoir-vic-3073,Reservoir,900000,22-Feb-2020,3,1,2,666,m2,House,https://www.domain.com.au/19-cuthbert-road-reservoir-vic-3073-2016034488,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Floorboards,0.5-1.1-0.6,3,Feb/2020/460.0/SOLD,1
46-mcmahon-road-reservoir-vic-3073,Reservoir,790000,06-Feb-2020,3,2,4,712,m2,House,https://www.domain.com.au/46-mcmahon-road-reservoir-vic-3073-2016040274,Garden*-Close to schools-Close to shops-Close to transport,0.6-1.5-0.1,3,Feb/2020/790000.0/SOLD,0
53-dundee-street-reservoir-vic-3073,Reservoir,1068000,31-Jan-2020,3,1,3,1227,m2,House,https://www.domain.com.au/53-dundee-street-reservoir-vic-3073-2015825489,Close to schools-Close to shops-Close to transport,0.4-1.9-0.4,3,Jan/2020/1068000.0/SOLD,0
